topics,title,desc
"电影,剪辑,分镜头剧本",分镜头如何影响电影的质量？,经常看到影评里面强调某部电影的分镜头运用很多，并且说这个如何提高了电影的等级。很好奇为什么分镜头会对一部电影有如此大的影响。以及为什么分镜头多了电影就会好呢
电影,目前国内运作一部电影是怎么融资的，整个完整的融资流程是怎样的?风险怎么控制？,好莱坞因为有整个非常完整科学的产业链，所以不管电影投资规模多大都能按时按需把资本和项目无缝对接起来，不知道国内时下比较流行的对接电影和资本的模式是什么？银行？或者富有的个人和机构？
"电影,动画,皮克斯 (Pixar Animation Studios),好莱坞（Hollywood）,迪士尼（Disney）",迪士尼关闭皮克斯加拿大分部的深层原因是什么？, > 迪士尼今年 4 月关闭卢卡斯游戏工作室之后，董事会最近又关闭了皮克斯加拿大分部，此举造成超过 100 人失业 [...] 皮克斯加拿大分部是皮克斯设立在温哥华的分公司。其主要工作和职责就是制作以皮克斯人物为主角的动画短片。该分部创立于 2009 年 [...] 迪士尼的发言人在当地早些时间发表声明称：「这是董事会作出的决定，目的在于进行结构性的调整。虽然这并不是什么好新闻，但这是我们…
"电影,招聘",如何看待互联网大公司（如 BAT）在影视业的布局？,营销公司工作3年，也带过不错的项目，有些瓶颈；近期参加了一些互联网电影公司的面试，大家给些意见，阿里、爱奇艺、优酷……常规的几家都比较熟悉啦
"电影,电影摄影,第 86 届奥斯卡金像奖",《地心引力》在摄影技术上有哪些建设性的意义？,《地心引力》获得第 86 届奥斯卡最佳摄影奖。
"电影,剧本,电影剧本,剧本创作",剧本的不同版本为什么用颜色来标记？,"初学写剧本，从网上下载了几个好莱坞的剧本，发现两个问题在网上搜索不到答案，应该是比较初级的问题。 1， 剧本的修定版本用的是颜色来标记，比如 ""42"" 这部影片里，颜色从white到tan做循环。 2，场景序列的标记，按顺序是1,2，3,4，5这样的，但是中间还会有1,2，3,3A，4,4A，5 这种，不知道是出于什么原则要这样标记。 网上找不到答案，不得已向知乎求助。"
"电影,小说,X 的有趣故事,香港电影,脑洞",“九龙皇帝”能够延伸出什么样的故事？,1951年，香港发生了一件不大不小的事。仿佛某天醒来，大家突然发现，墙上、垃圾桶上、灯柱上、电箱上，密密麻麻的全是字。而写字的人，是香港著名的疯子，“九龙皇帝”——曾灶财。 曾灶财16岁定居香港，先后做过建筑工和垃圾工，不料却在工作中压伤了腿，从此变得一瘸一拐。皇帝是曾灶财的自封，很多人笑他：居然还想在那个时代称帝！但他做这个决定，并不是空穴来风。三十多岁时，他的房子被港英政府强拆。这种强权，让曾灶财…
"电影,市场营销,电影产业,中国电影市场,电影营销公司",2013 年中国电影在营销上有哪些可值得分享的案例？,并请简述该案例的亮点，包括策划、执行、反馈总结...
"电影,纪录片,影视评论,世界纪录,纪录片推荐",世界纪录片发展有哪几个重要阶段？,具体阐述
"电影,演员,表演",有哪些知名电影演员主要用表现派（布莱希特体系）表演？,似乎用方法派（体验派/斯特尼斯拉夫斯基体系）的演技大神比较多？比如罗伯特德尼罗、阿尔帕西诺、杰克尼克尔森、丹尼尔戴刘易斯、梅丽尔斯特里普…… 表现派题主只知道朱迪丹奇。 想知道还有哪些人是表现派门生 问这个问题主要是很想求证一下当今方法派在表演方式上占据主流地位？
"电影,CG,电影产业,倒闭,水晶石",如何看待大陆 CG 业巨头水晶石的倒闭传闻？,
"电影,动画,黏土动画,CG,动漫",黏土动画中的雨戏是怎么完成的？,例如这段下雨以及打在窗户上的雨点是如何制作的？ 洒水实拍看上去似乎可能性不大，那么是CG制作的吗？
"电影,好莱坞（Hollywood）,导演,制片人",现在的好莱坞制片流程中，制片人和导演的控制力各自体现在哪里？,
"电影,好莱坞（Hollywood）,电影制作,电影产业",中国资本进入好莱坞，对中国电影市场自身与电影制作有哪些方面的意义？, 据外媒报道，华谊兄弟拟向一家好莱坞制片公司投资数亿美元，进军好莱坞。美国华纳兄弟公司电影业务的前负责人杰夫·罗宾诺夫目前正在组建一家新的电影制片公司，知情人士透露华谊兄弟正联合一些金融家向这家公司投资数亿美元，每年制作电影的数量大约为五部左右。如果交易最终达成，这将是中国企业对好莱坞制片商的最大一笔投资。
电影,国外的电影基金投资并运作国内电影，难点主要在哪里？,
"心理学,电视节目,真心话大冒险,真人秀",美国电视节目《真心话大冒险（The Moment of Truth）》反映的是怎样的心理机制？,最近在微博上有一个关于美国电视节目the moment of truth的讨论，看完后除了震惊以外有两个方面的困惑。第一，这个节目到底挑战的是人对于什么的心理底线？第二，从电视节目的角度上说，这档节目已经显示出美国电视在娱乐至死上已经真正走上了一条不归路，这档电视节目以出卖隐私、挑战人际关系，以揭露人对金钱的态度为噱头，造成很大的影响力，人们对这档节目的关注又是出于什么心理？参与者又是什么心理？节目的策划者到底想…
"心理学,戏剧,表演",心理学是怎么看“体验派”和“方法派”表演体系中的“情绪记忆”元素的？,在“体验派”和“方法派”的表演体系中，“情绪记忆” (Affective Memory)是很重要的一个环节。他们的创始人在某个时间都曾强调，演员应当通过配套的“情绪记忆”的练习，调动内心曾经经历的过的一种与角色相似的情感，并将这种情感带入到表演过程中去，使得在表演角色时，经历与角色相似的内心情感。 我想请问的是，由于体验派和方法派的表演理论提出的都比较早（19世纪10年代到19世纪30年代），他们主要还是用的Ribot的理论。…
心理学,如何只用大脑记住全部 7 位客人的不同点菜，并且准确送到客人手中？,「首先在大脑中形成了每位顾客的图像，然后把每个客人的点菜和图像对应起来。这似乎是一种独特的技巧，它叫做Chunking（分块）」，能具体解释一下吗？
心理学,科尔伯格的道德阶段理论，后习俗水平很少人能达到，要达到后习俗水平的主要障碍和促进因素是什么呢？,"According to the Kohlberg's stage model of moral development, only a few of us can reach the ultimate developmental stage in the Post-Conventional reasoning with concerns about universal ethical principles. What would be the major barriers and facilitating factors to reach this stage?"
"心理学,沟通技巧,人际交往,沟通,沟通方式",有哪些判断他人性格/沟通方式的框架？,
"心理学,社会心理学",那些针对不同社会阶层存在的各类心理差异的研究，是加深了人们的刻板印象，还是有助于消除歧视？,"譬如 ,问题下提及的各个研究，它们所起到的作用是加深了人们的刻板印象，还是为消除差异、偏见起到了作用？"
"心理学,心理",说一下你所了解的现代心理学新的发展动向？,80年代以来，你认为心理学有哪些地方值得重视？比如有哪些值得推荐的心理学学者，或者是值得推荐的心理学作品，或者是值得关注的心理学领域？
"认知科学,神经科学,脑科学,脑机接口,认知神经科学",加州大学 Brian Pasley 关于大脑解读 (Brain Decoder) 的发现真的有望实现「读心术」吗？,"原文：, 国内报道：, 如何通俗的理解这个发现呢？离实际应用还差多远？ 原理是基于在接受外界信息和自己默读时相同的声音频率在大脑中的解读位置是一样的？ 那如何实现从大脑到外界反向解读这一过程呢？ 还有对于不同语言的人来说，这个解读机制能达到普遍适用吗？"
"心理学,社会科学,经济学",什么是判断社会科学是否「科学」的准则？,最近看到有 paper 在讨论经济学和心理学的可重复性（replication）。 那么，replication 是社会科学是否「科学」的标准之一呢？ 什么是判断社会科学是否「科学」的准则？
"心理学,人机交互,交互设计,应用心理学,心理学职业发展",目前在国内学习工程心理学、人机交互等专业的实际就业体验如何？相关研究者与从业者需要具备哪些基本素养？,
"互联网,社交网络,产品经理,互联网产品,社会学,社会心理学",你对蒸发冷却效应怎么看？如何去防止这种现象发生？,"硅谷一名社交网络设计师在他的,中提出了这样一个有趣的现象：当新成员不断涌入一个开放社团时，社团中最有价值的成员会发现社团成员平均水平的降低让自己继续呆在这里已经没有意义了，于是他们就会选择离开。这批成员的离开进一步降低了社团的价值，于是恶性循环开始了：越来越多高价值的成员选择离开，直到有一天这个社团彻底的沦陷成了一个平庸的组织。 蒸发冷却这一现象点出了人类社交生活中很有趣的一个特点，而这一点，…"
"心理学,精神病学,精神疾病诊断与统计手册（DSM）",美国 DSM（精神疾病诊断与统计手册）是依据什么进行修订的？,"比如，在注意缺陷、多动障碍方面，DSM-5 取消了DSM-4 中「通常在婴幼儿、儿童或青少年首次诊断的障碍」的判断依据。 在精神分裂症方面，DSM－5 比DSM－4 多加了一项要求：个体必须具备以下三类症状之一：妄想，幻觉，与言语紊乱。至少具备一个核心的“阳性症状”对于可靠的诊断精神分裂症是必要的。 , "
"教育,高等教育,教育改革,教育理念,教育制度",如何看待当前中国的教育不公平？有什么实际的解决办法？,当前教育中存在明显的不公平，以户籍制度为基础，全国不同地区录取标准不同。 这种解决办法有可行性吗：国家把几十所名牌重点高校招生标准全国统一，当地其它院校可以适当向当地生源倾斜。
"心理咨询,心理咨询师,督导",成为督导后，你意识到了哪些作为「新手咨询师」时没有觉察到的事？,
"用户体验,心理学,用户研究,眼动研究,eye tracking,眼动仪",在眼动（eye tracking）研究中 Saccade（扫视）和 tobii 中的 Observation（观察）是一回事吗？,
"心理咨询,心理咨询师,督导",对咨询师来说，选择「师徒」式的督导与同辈督导有什么区别？, 各有什么优劣呢？
"心理学,心理学家大会",本届心理学家大会上提出的「1879计划」是什么？,1879年冯特在德国莱比锡大学创立世界上第一个心理学实验室，心理学自此成为一门以实验为基础的独立学科，1879这个数字对心理学而言，可以说相当有纪念意义。 故而想问问，以之命名的这个「1879计划」是个怎样的项目？有哪些值得关注之处？
"心理学,行为,实验心理学,心理实验,心理学专业",现代心理学的实验是否以脑电之类的居多而行为实验越来越少？为什么？,想了解心理学的方向
"心理学,社会心理,犯罪心理学",在心理学领域有哪些设计「精妙」的实验？,
"电影,字体",为什么大陆电影院放映原声电影的字幕要使用标楷体？,或者说是跟标楷体非常类似的一种字体，很明显的特征就是字形不对，比如我对「片、处、将」这几个字的印象就很深。按理说，使用港台形式的字体不符合规范吧？ 发个图你们感受下。 
"电影,华语电影,中国电影",2013 至 2014 年电影贺岁档竞争的背后，有哪些有趣的故事？,
"字体,字体设计,设计,FUI (Fictional User Interfaces)",科幻电影里面字体的「未来感」如何描述？有哪些典型？,"可能相关: , （一个研究科幻电影字体的网站）"
"数学,物理学,拓扑学,生物学,神经科学",生物拓扑学研究内容是什么？,生物拓扑学研究内容是什么？
"人工智能,图像处理,人脸识别,计算机视觉,深度学习（Deep Learning）","深圳目前有哪些比较炫酷,个性的计算机视觉公司？目前在换工作，希望去这样的公司。2016.3.15?",1. 计算机视觉只是范指，可以是深度学习，人脸识别，智能监控，各种图像处理等。莫纠结他们的属性分类。 2.炫酷，个性是指公司做的技术，产品比较牛叉，黑科技，公司比较有朝气。比如sensetime深圳的人脸，监控；第六感的头戴式VR等。 3.公司知名度不需要多大，不知名的创业公司也可以，只要符合一二条即可。
"教育,大学,科研",中国新的科研项目规定会产生哪些影响？,据Nature报道：中国自2017年起，973项目和863项目将被停止，并整合国家自然科学基金。这样的政策会产生哪些影响？原新闻在这里：
"学习,心理学,发展心理学",格塞尔的双生子爬梯实验是否还涉及到替代性学习？,在对于格塞尔双生子爬梯实验的描述中提到，双胞胎中的弟弟在52周的时候开始练习爬楼梯之前每天看着哥哥训练，自己也一直跃跃欲试，结果，同样的训练强度和内容，他只用了两周就能独立地爬楼梯了，并且还总想跟哥哥比个高低。结论是“任何一项训练或教育内容针对某个特定的受训对象，都存在一个‘最佳教育期’”，这个实验是不是没有排除替代性学习的可能？如果改进的话，是不是可以把“弟弟观察哥哥爬梯”这一过程去除？
